Nombre;Descripcion;Categoria;Etiquetas;Precio;URL FOTO
Limpia Pisos Fabuloso Mar Fresco;Botella x 1000 ml;Aseo Hogar;Desinfectantes;7700;https://merkandoya.com/imgproductos/0aa10680-82c2-11ea-9bc2-0fcbfb1ff57c20200419234730.jpg
Limpia Pisos Fabuloso Alternativa Cloro;Bolsa x 720 ml;Aseo Hogar;Desinfectantes;7700;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3516622-1000-1000/7509546655802.jpg?v=637281994258100000
Limpia Pisos Creso Pinol Ultra;Botella x 500 ml;Aseo Hogar;Desinfectantes;3800;https://supermercadocomunal.com/3482-large_default/limpiador-cresopinol-ultra-500-ml.jpg
Limpia Pisos Creso Pinol ;Botella x 500 ml;Aseo Hogar;Desinfectantes;3600;https://i2.wp.com/mercaenlinea.nyc3.digitaloceanspaces.com/2019/07/creso_pinol_500ml.jpg?fit=700%2C700&ssl=1
Cera Mundial Roja ;Cojin x 400 gr;Aseo Hogar;Cera;4100;
Cera Mundial Amarilla ;Cojin x 400 gr;Aseo Hogar;Cera;4100;
Cera Mundial Neutra;Cojin x 400 gr;Aseo Hogar;Cera;4100;
Cera Mundial Escarlata;Cojin x 400 gr;Aseo Hogar;Cera;4100;
Desengrasante Mi Dia;Tarro x 500 ml;Aseo Hogar;Limpieza de Superficies;5400;https://www.corbeta.com.co/media/catalog/product/cache/1/image/458x458/9df78eab33525d08d6e5fb8d27136e95/7/7/7701023036023.png
Desengrasante Mi Dia;Bolsa x 500 ml;Aseo Hogar;Limpieza de Superficies;2800;https://www.midia.com.co/sites/default/files/styles/product_detail/public/2020-06/7701023036030.png?itok=pnSVqwLn
Desengrasante La Catleya;Tarro x 1000 ml;Aseo Hogar;Limpieza de Superficies;6900;https://lacatleya.com/wp-content/uploads/2020/06/desengrasante-x1000.jpg
Desengrasante Easy-off Bang;Bolsa x 500 ml;Aseo Hogar;Limpieza de Superficies;6600;https://mercaldas.vteximg.com.br/arquivos/ids/156848-1000-1000/2799.jpg?v=636885406657970000
Of Desengrasante Easy-off Bang ;Tarro x 500 ml;Aseo Hogar;Limpieza de Superficies;9900;https://www.merca.co/arquivos/ids/189953-1000-1000/Quitagrasa-EASSY-OFF-500-Pistola-Gts-Repuesto_32257.jpg?v=637255830340900000
Desengrasante Magistral Naranja;Tarro x 500 ml;Aseo Hogar;Limpieza de Superficies;4600;
Mr Musculo Baño;Bolsa x 500 ml;Aseo Hogar;Limpieza de Superficies;8100;https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3495715-1000-1000/7790520989116.jpg?v=637227438007070000
Mr Musculo Cocina Naranja;Bolsa x 500 ml;Aseo Hogar;Limpieza de Superficies;6900;https://lagranbodega.vteximg.com.br/arquivos/ids/278329-1000-1000/7501032903909.jpg?v=637172279191230000
Mr Musculo Cocina Limon;Bolsa x 500 ml;Aseo Hogar;Limpieza de Superficies;6900;https://metrocolombiafood.vteximg.com.br/arquivos/ids/157971-400-400/7790520155245-1.jpg?v=636670247442570000
Blanqueador Clorox Original;Botella x 3800 ml;Aseo Hogar;Blanqueadores;11800;https://resources.claroshop.com/medios-plazavip/s2/11073/1284291/5df96734228d4-7501071900143-1600x1600.jpg
